arquivo,escopo,nome,h1,h2,N1,N2,vocabulary,length,calculated_length,volume,difficulty,effort,time,bugs
sample_factory/huggingface/huggingface_utils.py,funcao,generate_replay_video,7,14,9,17,21,26,72.9545,114.2003,4.25,485.3511,26.9639,0.0381
sample_factory/huggingface/huggingface_utils.py,funcao,generate_model_card,3,7,5,10,10,15,24.4064,49.8289,2.1429,106.7763,5.932,0.0166
sample_factory/huggingface/huggingface_utils.py,funcao,push_to_hf,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/huggingface/huggingface_utils.py,funcao,load_from_hf,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/huggingface/load_from_hub.py,funcao,main,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/huggingface/push_to_hub.py,funcao,main,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
sample_factory/launcher/launcher_utils.py,funcao,seeds,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/launcher/run.py,funcao,launcher_argparser,1,4,3,6,5,9,8.0,20.8974,0.75,15.673,0.8707,0.007
sample_factory/launcher/run.py,funcao,parse_args,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/launcher/run.py,funcao,main,1,4,3,6,5,9,8.0,20.8974,0.75,15.673,0.8707,0.007
sample_factory/launcher/run_description.py,funcao,__init__,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/launcher/run_description.py,funcao,generate_params,1,4,2,4,5,6,8.0,13.9316,0.5,6.9658,0.387,0.0046
sample_factory/launcher/run_description.py,funcao,_generate_combinations,3,6,4,8,9,12,20.2647,38.0391,2.0,76.0782,4.2266,0.0127
sample_factory/launcher/run_description.py,funcao,generate_experiments,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/launcher/run_ngc.py,funcao,add_ngc_args,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/launcher/run_ngc.py,funcao,run_ngc,4,7,4,7,11,11,27.6515,38.0537,2.0,76.1075,4.2282,0.0127
sample_factory/launcher/run_processes.py,funcao,add_os_parallelism_args,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
sample_factory/launcher/run_processes.py,funcao,find_least_busy_gpu,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
sample_factory/launcher/run_processes.py,funcao,can_squeeze_another_process,3,5,3,6,8,9,16.3645,27.0,1.8,48.6,2.7,0.009
sample_factory/launcher/run_processes.py,funcao,prepare_process_command,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/launcher/run_processes.py,funcao,prepare_process_env,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
sample_factory/launcher/run_processes.py,funcao,start_experiment_process,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/launcher/run_processes.py,funcao,collect_finished_processes,3,5,3,6,8,9,16.3645,27.0,1.8,48.6,2.7,0.009
sample_factory/launcher/run_processes.py,funcao,report_failed_processes,2,4,2,4,6,6,10.0,15.5098,1.0,15.5098,0.8617,0.0052
sample_factory/launcher/run_processes.py,funcao,run,4,8,5,10,12,15,32.0,53.7744,2.5,134.4361,7.4687,0.0179
sample_factory/launcher/run_slurm.py,funcao,add_slurm_args,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/launcher/run_slurm.py,funcao,ensure_slurm_workdir,1,1,1,1,2,2,0,2.0,0.5,1.0,0.0556,0.0007
sample_factory/launcher/run_slurm.py,funcao,load_sbatch_template,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/launcher/run_slurm.py,funcao,slurm_partition_arg,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/launcher/run_slurm.py,funcao,slurm_num_cpus,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/launcher/run_slurm.py,funcao,create_sbatch_files,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/launcher/run_slurm.py,funcao,submit_sbatch_file,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/launcher/run_slurm.py,funcao,submit_sbatch_files,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/launcher/run_slurm.py,funcao,write_scancel_script,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/launcher/run_slurm.py,funcao,run_slurm,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/model/action_parameterization.py,funcao,__init__,2,3,3,5,5,8,6.7549,18.5754,1.6667,30.959,1.7199,0.0062
sample_factory/model/action_parameterization.py,funcao,forward,3,4,3,6,7,9,12.7549,25.2662,2.25,56.8489,3.1583,0.0084
sample_factory/model/actor_critic.py,funcao,__init__,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/model/actor_critic.py,funcao,get_action_parameterization,2,3,2,3,5,5,6.7549,11.6096,1.0,11.6096,0.645,0.0039
sample_factory/model/actor_critic.py,funcao,model_to_device,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/model/actor_critic.py,funcao,device_for_input_tensor,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/model/actor_critic.py,funcao,type_for_input_tensor,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/model/actor_critic.py,funcao,initialize_weights,4,16,10,20,20,30,72.0,129.6578,2.5,324.1446,18.008,0.0432
sample_factory/model/actor_critic.py,funcao,normalize_obs,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/model/actor_critic.py,funcao,summaries,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/model/actor_critic.py,funcao,action_distribution,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/model/actor_critic.py,funcao,_maybe_sample_actions,1,2,1,2,3,3,2.0,4.7549,0.5,2.3774,0.1321,0.0016
sample_factory/model/actor_critic.py,funcao,forward_head,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/model/actor_critic.py,funcao,forward_core,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/model/actor_critic.py,funcao,forward_tail,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/model/actor_critic.py,funcao,forward,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/model/actor_critic.py,funcao,actor_encoder,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/model/actor_critic.py,funcao,critic_encoder,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/model/actor_critic.py,funcao,actor_core,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/model/actor_critic.py,funcao,critic_core,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/model/actor_critic.py,funcao,actor_decoder,0,0,0,0,0,0,0,0,0,0,0,0
sample_factory/model/actor_critic.py,funcao,critic_decoder,0,0,0,0,0,0,0,0,0,0,0,0
